n;Wynik 1;Wynik 2;Wynik 3;Wynik 4;Wynik 5;Wynik 6;Wynik 7;Wynik 8;Wynik 9;Wynik 10;Wynik 11;Wynik 12;Wynik 13;Wynik 14;Wynik 15;Wynik 16;Wynik 17;Wynik 18;Wynik 19;Wynik 20;Wynik 21;Wynik 22;Wynik 23;Wynik 24;Wynik 25;Wynik 26;Wynik 27;Wynik 28;Wynik 29;Wynik 30;Wynik 31;Wynik 32;Wynik 33;Wynik 34;Wynik 35;Wynik 36;Wynik 37;Wynik 38;Wynik 39;Wynik 40;Wynik 41;Wynik 42;Wynik 43;Wynik 44;Wynik 45;Wynik 46;Wynik 47;Wynik 48;Wynik 49;Wynik 50;
3850;2.02857;2.00246;1.99022;2.0351;2.02123;1.94126;1.9992;1.97064;2.05795;2.00083;2.01633;1.97961;2.03347;1.99838;1.99348;1.97798;1.98696;2.00654;2.00736;2.04652;1.98614;2.00654;2.00083;1.99838;1.97961;1.98777;1.99348;2.01062;1.9943;1.9894;1.98043;2.02776;1.97798;2.00246;1.9535;2.0196;1.98206;2.0196;1.96819;2.0098;1.96656;1.96411;2.01144;1.99756;1.99838;1.98777;1.98451;1.9739;2.02449;2.02368;
3900;1.9647;2.00901;1.98968;2.0517;1.99693;1.9929;1.97034;2.03156;1.99451;2.00337;2.00337;1.98806;1.98565;2.01223;2.03881;2.04042;2.00659;2.01304;2.01223;2.04526;2.01223;2.03398;1.97034;1.93329;2.00498;1.98404;1.97759;1.95987;2.01626;1.9937;1.99451;1.98484;1.98081;1.98162;2.00417;2.00579;1.96309;1.96551;1.9929;2.00981;2.00579;2.01465;2.00579;2.00498;1.97759;2.00498;2.00337;2.00659;2.01223;2.01304;
3950;2.05039;2.04641;2.02891;1.99471;1.98835;1.99392;1.95733;1.97483;2.00982;1.9963;2.00267;2.00108;1.97722;2.02573;2.00426;1.94063;2.04561;2.02971;2.04641;2.01141;2.02971;1.97562;2.03925;2.01937;2.0138;2.04084;2.05993;2.01539;1.9796;2.00108;1.98596;1.98835;1.93983;1.97801;2.00187;1.98994;1.98994;2.02096;1.97562;1.98835;2.0472;2.00982;2.00585;1.99392;2.04005;2.02971;1.99233;1.97881;2.00903;2.02414;
4000;1.99727;1.96664;1.98077;1.96114;1.96114;1.9792;2.00591;2.03104;2.00119;2.02083;1.98313;2.0114;2.0114;1.98313;1.99884;2.01926;1.97135;2.04046;1.98234;1.99962;2.01612;1.97999;2.02083;2.00826;1.98156;2.05146;2.02554;1.98313;1.98156;1.98627;1.9957;2.0334;1.98234;1.9635;1.99648;1.97763;1.99098;2.05539;1.99648;2.01769;2.02083;1.97606;2.00826;1.98863;2.02397;1.97842;2.01769;1.97685;2.03183;1.9635;
4050;1.96951;2.02691;2.00674;1.99433;2.01838;1.97959;1.99666;1.98425;2.01915;1.99898;2.0114;2.01527;1.99123;2.02691;2.03777;1.9858;1.97416;2.00829;1.97028;2.00209;1.95399;1.97882;2.03079;2.02381;1.99355;1.992;2.02303;1.98968;2.02381;1.97261;1.9858;1.98968;1.98347;2.00131;1.97804;1.99666;1.96951;2.02148;2.00364;1.98269;2.02225;2.00674;1.97261;1.98192;2.01217;2.00286;1.98269;2.00209;1.99355;1.992;
4100;1.9884;1.97614;1.9769;1.99989;2.01752;1.97767;1.99836;1.98533;1.98993;1.98074;2.0474;1.99453;2.02058;2.00449;1.9769;1.99836;2.01215;1.98074;1.95545;1.99529;1.9838;1.96311;2.00372;1.97307;2.02441;1.94702;1.99453;2.03131;1.99529;1.97077;1.99913;2.02978;2.01062;2.00296;1.97614;2.01215;2.01368;2.05276;1.99913;1.98916;2.00449;2.03361;1.98763;1.95928;2.00526;2.0405;1.99453;2.01675;1.99606;1.96694;
4150;1.95611;2.02046;1.9864;1.98867;2.00078;2.02197;2.01213;1.97731;1.98412;1.99624;2.00911;2.01592;2.00305;1.9811;1.97731;1.97807;1.99018;1.98337;1.99699;2.01213;1.99926;2.04696;1.99699;1.95082;1.99775;1.99851;2.02425;1.97125;1.9811;1.99851;2.05528;1.99169;1.99245;1.99094;2.00835;2.00002;2.00381;2.00532;1.99851;2.00078;2.00305;1.99169;2.04241;1.9652;1.98412;2.00608;1.98715;2.00229;2.03787;2.00002;
4200;2.00538;2.01137;2.00464;2.00164;1.97322;1.99192;1.98369;2.00389;1.98668;1.9822;1.99416;2.01286;2.00015;2.01885;2.01735;1.95003;1.98369;1.97472;1.98519;1.99865;2.02408;1.99641;1.9822;2.01286;2.01212;1.9822;2.01361;1.99117;1.98743;1.99342;2.05101;2.05101;2.02633;1.9979;2.0196;1.9994;2.03979;1.98743;2.00164;1.97546;2.01212;2.0009;2.00015;2.01361;1.99641;2.02857;2.01286;1.96499;2.02558;2.02558;
4250;1.98918;2.05423;2.00027;1.95518;1.99362;2.00988;2.01358;2.00249;2.01284;1.99805;1.98327;1.99066;2.03575;2.00914;1.9951;2.0121;1.98918;2.0084;1.99805;2.03649;1.99288;2.01358;1.98623;2.01875;1.96848;1.9877;2.00545;1.98475;1.99288;1.96775;2.0084;1.99066;1.96996;1.99288;2.05275;1.99288;2.0291;2.00323;1.9914;1.99436;2.04536;2.02836;2.02688;1.99805;1.98105;2.0084;2.03797;2.00692;2.0121;2.02023;
4300;1.97482;1.96971;2.03692;2.02377;2.01646;1.99382;1.99966;1.96751;2.02158;2.00989;2.00989;1.99162;2.00989;1.9719;1.99089;1.96167;1.99966;1.96678;2.03473;2.0245;1.95729;2.00843;2.00477;2.00039;2.01062;2.02377;2.01646;2.00039;2.00404;2.01866;1.97555;2.04642;2.02523;1.96824;1.97993;1.98724;2.02523;2.015;1.9887;2.01793;2.02085;1.9814;1.99601;1.98651;1.9624;2.00331;2.00551;2.03181;2.0413;2.00843;
4350;1.99979;1.9969;2.01279;2.03879;2.05395;1.98173;2.02579;2.00051;2.01856;1.98173;2.00773;2.02073;2.00051;1.98534;2.0034;2.01206;1.98823;1.99762;2.06045;2.01712;1.96368;2.01929;1.96729;2.0229;1.99401;2.00412;2.02867;1.9709;1.99184;2.03229;2.00629;1.99473;2.00268;2.01423;2.02362;1.99184;2.03445;1.97379;2.01495;2.03229;1.99401;2.00701;1.95934;2.0164;2.00051;1.99979;1.98318;2.03301;1.9709;1.99112;
4400;1.94993;2.0299;1.98706;2.01133;1.97135;2.00491;1.98777;1.9792;1.99777;2.00348;1.96778;2.00277;1.99063;1.98706;2.00419;2.0349;2.00277;1.99491;2.00634;1.97278;1.96492;2.01133;2.06631;2.02276;1.99206;2.06631;1.99348;2.04204;1.94493;2.00562;2.00705;2.04489;2.00134;1.98063;2.02419;1.99491;1.97635;1.99134;1.96921;2.03918;1.98777;1.99063;2.00205;1.99634;1.98634;2.00919;2.00491;1.99348;2.03704;2.00134;
4450;2.05439;2.02191;2.01274;1.98873;1.97461;1.99368;2.00709;2.01839;2.04874;1.98309;2.02333;1.9965;1.98309;1.97461;1.96755;2.04451;1.95979;1.9379;2.02827;1.98097;1.99226;1.99368;2.01062;2.00991;2.00497;1.99085;2.01415;2.04027;1.96826;1.98309;1.99368;1.98732;1.95697;2.05298;2.02756;2.00497;1.99509;2.00568;1.99932;1.93084;1.99368;2.03392;2.00921;1.96403;1.96403;1.98803;2.05015;2.02121;1.99721;2.01062;
